"ka" "ks" "vka" "vks" "dnds" "chi.square" "stat"
"OG1_10040" 0.01592594235064 0.00341596860982831 4.98849907174954e-05 3.52350223826484e-05 4.66220395141174 13.4117377817358 "Positive"
"OG1_10051" 0.00566578300477501 0 1.61421773716625e-05 0 Inf Inf "Positive"
"OG1_10081" 0.00707976430181726 0 1.26203224191947e-05 0 Inf Inf "Positive"
"OG1_10083" 0.00158730292038632 0 2.52353829341781e-06 0 Inf Inf "Positive"
"OG1_10092" 0.00615392383729839 0 3.81057536082558e-05 0 Inf Inf "Positive"
"OG1_10096" 0.00188324139773843 0 3.55329405750046e-06 0 Inf Inf "Positive"
"OG1_10111" 0.00271701259187903 0 2.78282117254392e-06 0 Inf Inf "Positive"
"OG1_10122" 0.00119029719645741 0 5.60067674444154e-06 0 Inf Inf "Positive"
"OG1_10173" 0.00168208737281603 0 2.83418794558261e-06 0 Inf Inf "Positive"
"OG1_10178" 0.0038684912510762 0 7.5117084396478e-06 0 Inf Inf "Positive"
"OG1_10194" 0.00301515807634183 0 3.42530562441686e-06 0 Inf Inf "Positive"
"OG1_10198" 0.00297480980559314 0 9.43771452618298e-06 0 Inf Inf "Positive"
"OG1_10208" 0.0134841334111815 0 9.65651708606404e-05 0 Inf Inf "Positive"
"OG1_10213" 0.0189712332971739 0.00498144742300386 5.86185638014937e-05 0.000102418164103238 3.80837770354989 7.88698532579616 "Positive"
"OG1_10216" 0.0150509915600774 0 0.000240128205602293 0 Inf Inf "Positive"
"OG1_10219" 0.0047785675670607 0 2.01874626073995e-05 0 Inf Inf "Positive"
"OG1_10261" 0.0315412902967253 0.00809187049745258 4.71442222046841e-05 3.12066840965865e-05 3.89789855221421 8.39781601892519 "Positive"
"OG1_10270" 0.00498956983527982 0 1.41744500334503e-05 0 Inf Inf "Positive"
"OG1_10274" 0.00484514340154762 0 4.46647407153254e-05 0 Inf Inf "Positive"
"OG1_10313" 0.00249590144891056 0 2.28682811080896e-05 0 Inf Inf "Positive"
"OG1_10415" 0.00392342154130324 0 1.63292166595348e-05 0 Inf Inf "Positive"
"OG1_10420" 0.00395043958048897 0 6.02201876159454e-05 0 Inf Inf "Positive"
"OG1_10424" 0.0053191991025279 0 2.84454515344732e-05 0 Inf Inf "Positive"
"OG1_10429" 0.0616961895651645 0.0141369124872711 0.000100045320212573 5.06713803442236e-05 4.36419123487648 11.3177826648197 "Positive"
"OG1_10432" 0.00448433499138016 0 2.01999779702482e-05 0 Inf Inf "Positive"
"OG1_10439" 0.00319489904938549 0 5.12006536933044e-06 0 Inf Inf "Positive"
"OG1_10443" 0.0225173542467786 0.00338680142611282 2.49456118703903e-05 1.02876453442518e-05 6.6485605188323 31.906235934911 "Positive"
"OG1_10446" 0.00171821474929055 0 2.95734618079041e-06 0 Inf Inf "Positive"
"OG1_10448" 0.00378780230712726 0 5.41061808802136e-06 0 Inf Inf "Positive"
"OG1_10450" 0.00696875392189084 0 2.44525597974783e-05 0 Inf Inf "Positive"
"OG1_10459" 0.00199601063476873 0 3.99203187250996e-06 0 Inf Inf "Positive"
"OG1_10474" 0.00207900507433184 0 4.33127305209774e-06 0 Inf Inf "Positive"
"OG1_10475" 0.00635535222003933 0.00148897320591283 5.86444632312895e-06 5.54806667681715e-06 4.26827843160759 10.6816439065114 "Positive"
"OG1_10479" 0.00177777965066659 0 3.16613249590602e-06 0 Inf Inf "Positive"
"OG1_10492" 0.00199402058897781 0 3.98406768156422e-06 0 Inf Inf "Positive"
"OG1_10497" 0.00544866670984487 0 1.58914932927436e-05 0 Inf Inf "Positive"
"OG1_10501" 0.00650944914089166 0 1.06627895583898e-05 0 Inf Inf "Positive"
"OG1_10506" 0.00810828579462264 0 2.20943901407904e-05 0 Inf Inf "Positive"
"OG1_10526" 0.00661631458600307 0 4.68866712361033e-05 0 Inf Inf "Positive"
"OG1_10531" 0.00637967187687996 0 2.04810432775591e-05 0 Inf Inf "Positive"
"OG1_10545" 0.014870992314959 0 8.2738597591427e-05 0 Inf Inf "Positive"
"OG1_10547" 0.00278426710839851 0 8.28952270685052e-06 0 Inf Inf "Positive"
"OG1_10590" 0.00258303093235897 0 2.53734912733149e-05 0 Inf Inf "Positive"
"OG1_10592" 0.00477710640240586 0 7.64348652931854e-06 0 Inf Inf "Positive"
"OG1_10600" 0.00349951311544691 0 1.32222733023199e-05 0 Inf Inf "Positive"
"OG1_10615" 0.0106877267185791 0.00296909346797915 3.18477940363492e-05 8.86456252468011e-06 3.59965990759243 6.75823163514347 "Positive"
"OG1_10634" 0.00811098823451127 0 1.20320793983643e-05 0 Inf Inf "Positive"
"OG1_10644" 0.004444473708623 0 4.9604154438324e-06 0 Inf Inf "Positive"
"OG1_10650" 0.0176341466758778 0 0.000176293360509456 0 Inf Inf "Positive"
"OG1_10657" 0.00711755791093596 0 2.55118218468625e-05 0 Inf Inf "Positive"
"OG1_10678" 0.0269954576255477 0.00582196900269663 7.07923399192437e-05 3.5352974293553e-05 4.63682606572517 13.226503832338 "Positive"
"OG1_10685" 0.0027574431502814 0 6.77850101513195e-06 0 Inf Inf "Positive"
"OG1_10700" 0.00148557720130218 0 8.45207612230146e-06 0 Inf Inf "Positive"
"OG1_10701" 0.00757590251030112 0 5.78335296898502e-05 0 Inf Inf "Positive"
"OG1_10704" 0.0020325231240848 0 4.1395696982926e-06 0 Inf Inf "Positive"
"OG1_10706" 0.00740754289257034 0 5.52821930732641e-05 0 Inf Inf "Positive"
"OG1_10713" 0.00745267349378417 0 4.9990027157382e-05 0 Inf Inf "Positive"
"OG1_10759" 0.00241182636859194 0 2.31691854174563e-05 0 Inf Inf "Positive"
"OG1_10770" 0.00411842235343257 0 9.65147102791506e-06 0 Inf Inf "Positive"
"OG1_10774" 0.0127400306335398 0.00236749126634505 2.49630958990578e-05 1.42301673493069e-05 5.38123659193384 19.1952340745 "Positive"
"OG1_10778" 0.0012391580072335 0 7.68709228119765e-07 0 Inf Inf "Positive"
"OG1_10787" 0.0176082851977831 0.00430093075637749 1.96126503619428e-05 1.03684356445569e-05 4.0940638655187 9.57323120390853 "Positive"
"OG1_10790" 0.00256410818345976 0 6.59156663809364e-06 0 Inf Inf "Positive"
"OG1_10796" 0.0113946659857174 0 4.90250866566001e-05 0 Inf Inf "Positive"
"OG1_10844" 0.0114157094011832 0.00348296919135786 2.95491024597415e-05 2.44496355432843e-05 3.27757978150035 5.18736966109919 "Positive"
"OG1_10853" 0.00312663864081585 0 3.26885417452093e-06 0 Inf Inf "Positive"
"OG1_10873" 0.00324676465527416 0 1.0575854959154e-05 0 Inf Inf "Positive"
"OG1_10877" 0.00104438680269584 0 1.09188453960787e-06 0 Inf Inf "Positive"
"OG1_10880" 0.0175266934183612 0 0.00026794466551613 0 Inf Inf "Positive"
"OG1_10881" 0.0284545995587712 0.00947514944068852 0.000206652218819835 0.000135072521400752 3.00307659914897 4.01231586205821 "Positive"
"OG1_10882" 0.0135601531095969 0 9.32083535696173e-05 0 Inf Inf "Positive"
"OG1_10886" 0.013965021582547 0 0.000110685762611982 0 Inf Inf "Positive"
"OG1_10888" 0.00375735718394567 0 5.34009479088619e-05 0 Inf Inf "Positive"
"OG1_10897" 0.00164370698812586 0 5.27900205589454e-06 0 Inf Inf "Positive"
"OG1_10907" 0.00107453433414658 0 4.45783746037581e-06 0 Inf Inf "Positive"
"OG1_10910" 0.0157080981166895 0 8.35674583358613e-05 0 Inf Inf "Positive"
"OG1_10911" 0.00242832631673594 0 3.35222711269286e-06 0 Inf Inf "Positive"
"OG1_10919" 0.00153492062214425 0 2.35960496998452e-06 0 Inf Inf "Positive"
"OG1_10930" 0.00261709206054959 0 2.87733427175162e-05 0 Inf Inf "Positive"
"OG1_10959" 0.000965251265028923 0 9.32610497183793e-07 0 Inf Inf "Positive"
"OG1_10960" 0.00353188706162155 0 4.83211791726728e-05 0 Inf Inf "Positive"
"OG1_10963" 0.00296318153671021 0 9.39827075940468e-06 0 Inf Inf "Positive"
"OG1_10967" 0.00791775106816813 0 6.6362626251247e-05 0 Inf Inf "Positive"
"OG1_10969" 0.00502110873156522 0 9.21426251681973e-05 0 Inf Inf "Positive"
"OG1_10976" 0.00465119633115682 0 7.24495858714277e-06 0 Inf Inf "Positive"
"OG1_10979" 0.00875295875680729 0 3.86463833618271e-05 0 Inf Inf "Positive"
"OG1_11011" 0.00126320137153098 0 6.10471966460564e-06 0 Inf Inf "Positive"
